weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
6.3,89.3,5.6,58.9,C
5.8,69.8,9.7,62.3,C
18.7,92.8,10.0,100.0,A
17.1,82.5,5.8,83.5,B
16.8,74.8,6.2,90.2,A
17.4,70.0,8.4,94.4,A
10.2,88.5,7.7,85.4,A
16.6,81.2,4.8,100.0,A
17.1,76.4,3.3,100.0,A
10.0,90.3,5.5,92.4,A
28.1,100.0,5.5,100.0,A
18.3,97.0,6.1,79.6,B
6.7,89.3,4.4,54.8,D
19.6,78.5,10.0,93.2,A
8.2,93.6,6.8,72.0,B
20.5,96.7,5.5,95.8,A
23.1,93.9,2.1,100.0,A
9.3,97.0,4.9,75.8,B
21.7,74.0,4.6,97.4,A
17.9,78.1,6.8,100.0,A
20.8,77.4,3.9,100.0,A
28.3,87.7,3.9,100.0,A
13.3,83.4,7.8,72.2,B
9.7,80.5,9.9,72.9,B
8.8,95.0,7.2,63.2,C
9.3,88.5,8.7,66.2,C
14.5,79.3,8.1,75.6,B
17.4,93.7,6.9,100.0,A
16.9,84.0,4.5,75.5,B
20.8,82.0,7.2,89.5,A
15.1,63.3,4.8,89.2,A
25.2,88.0,6.0,100.0,A
13.1,79.1,4.8,92.9,A
34.0,100.0,0.6,100.0,A
19.4,94.8,7.4,100.0,A
9.0,97.2,4.7,84.7,B
7.5,85.6,8.2,80.1,B
18.4,100.0,9.4,100.0,A
13.4,100.0,6.4,75.9,B
20.0,84.5,3.8,100.0,A
18.3,89.6,6.7,96.5,A
14.5,81.9,1.8,97.2,A
9.1,85.6,5.6,58.2,C
4.4,86.9,6.1,52.2,D
11.9,92.4,9.6,70.1,B
21.0,79.3,6.2,100.0,A
16.5,100.0,6.9,89.0,A
6.3,75.7,4.1,44.1,D
16.2,81.8,4.7,80.5,B
17.7,89.0,4.9,92.5,A
8.8,93.2,4.6,65.4,C
16.1,82.7,6.2,93.9,A
15.4,68.2,9.3,99.8,A
7.0,78.7,5.2,53.2,D
17.5,96.8,8.7,85.9,A
18.9,82.4,5.8,100.0,A
22.6,80.2,5.0,100.0,A
22.4,77.5,5.1,99.4,A
5.4,78.4,6.4,63.0,C
8.4,87.1,8.2,70.2,B
18.6,98.2,1.0,90.5,A
18.6,93.9,2.5,83.7,B
18.6,89.0,2.7,98.1,A
40.0,68.1,6.7,100.0,A
19.0,88.0,7.3,95.5,A
22.9,79.5,5.2,100.0,A
21.7,98.3,7.1,100.0,A
19.6,82.6,8.7,90.2,A
12.8,89.1,2.9,87.9,A
20.3,81.4,7.1,100.0,A
9.6,82.6,6.0,83.0,B
13.3,80.9,4.6,97.4,A
11.6,71.3,1.9,70.6,B
15.6,85.3,7.6,83.7,B
31.2,95.1,2.1,100.0,A
1.9,78.8,10.0,46.4,D
19.8,83.0,4.6,100.0,A
3.7,100.0,5.0,63.1,C
11.7,90.1,9.4,87.4,A
22.6,73.5,4.8,100.0,A
15.4,97.2,8.9,65.7,C
7.5,76.3,6.5,54.2,D
10.0,65.7,10.0,69.5,C
19.8,84.4,7.6,100.0,A
9.9,94.1,4.5,79.0,B
16.5,99.4,6.7,100.0,A
15.3,76.5,6.7,81.5,B
10.4,95.9,6.3,85.8,A
30.0,81.2,8.1,100.0,A
19.4,83.3,1.8,100.0,A
0.8,91.0,4.2,53.0,D
16.3,70.2,7.5,96.0,A
10.4,85.9,4.1,81.2,B
21.0,96.9,8.9,100.0,A
9.5,81.8,4.9,55.0,C
14.2,87.3,7.1,81.5,B
18.5,86.9,4.7,72.7,B
21.1,88.6,8.5,100.0,A
6.6,96.5,6.5,55.6,C
12.7,77.4,10.0,91.1,A
11.7,89.4,3.1,80.0,B
10.4,79.9,1.6,71.4,B
27.4,97.6,6.7,100.0,A
17.8,78.1,8.5,89.5,A
6.2,83.9,3.5,74.7,B
21.4,88.4,6.7,100.0,A
29.9,90.6,4.3,100.0,A
22.2,90.5,6.7,94.1,A
4.4,83.1,6.5,38.9,F
11.6,81.8,6.0,69.5,C
23.9,68.3,7.0,100.0,A
10.0,85.0,4.7,60.4,C
18.1,74.1,3.5,98.1,A
20.4,85.1,2.2,100.0,A
8.5,78.2,7.0,77.7,B
14.6,66.7,1.1,81.2,B
0.0,100.0,6.6,57.8,C
7.8,76.7,5.5,63.8,C
13.2,74.0,4.4,69.4,C
6.3,89.9,8.8,68.7,C
26.4,74.0,9.4,100.0,A
5.0,83.2,5.5,57.2,C
11.9,75.7,3.4,69.3,C
15.9,79.9,1.7,83.5,B
25.1,83.8,5.4,100.0,A
4.9,91.8,6.2,69.7,C
23.1,96.6,8.9,100.0,A
15.1,72.9,2.0,90.1,A
8.1,81.6,3.9,78.1,B
18.2,72.6,7.1,100.0,A
16.4,82.9,5.9,76.2,B
10.8,77.5,8.7,69.6,C
15.5,74.9,6.2,77.6,B
12.3,74.2,6.9,82.4,B
15.8,74.8,8.9,89.1,A
19.6,88.3,6.5,100.0,A
26.1,100.0,3.9,100.0,A
6.3,76.6,4.1,43.9,D
29.9,81.2,5.6,100.0,A
1.3,82.9,5.5,54.5,D
13.9,88.5,8.0,62.1,C
19.1,80.3,4.9,100.0,A
17.0,92.4,5.7,85.6,A
10.6,83.8,4.4,80.8,B
13.5,92.2,7.4,92.4,A
11.5,89.6,6.3,71.6,B
10.9,88.2,5.2,74.5,B
20.9,76.2,8.1,87.5,A
17.5,92.0,7.0,89.9,A
10.1,90.0,3.0,80.4,B
21.3,100.0,6.9,94.9,A
17.2,77.6,6.7,92.6,A
20.7,84.6,10.0,95.8,A
19.4,93.6,6.2,100.0,A
9.2,89.2,3.9,62.9,C
11.1,90.4,5.9,81.1,B
20.2,70.6,4.7,100.0,A
19.3,91.1,5.8,100.0,A
14.9,97.7,6.0,87.6,A
15.8,73.4,8.9,88.1,A
23.9,86.1,4.9,100.0,A
10.9,80.5,5.7,77.1,B
18.8,87.2,4.2,80.0,B
13.6,97.7,3.5,100.0,A
13.5,73.9,8.6,90.6,A
22.7,85.4,9.2,95.9,A
20.8,84.2,7.3,99.6,A
20.7,88.8,3.8,100.0,A
24.1,80.4,4.9,100.0,A
15.1,100.0,1.8,82.2,B
19.8,73.4,2.8,100.0,A
12.8,97.7,8.1,79.8,B
17.3,85.2,6.6,94.6,A
14.1,73.8,5.2,84.1,B
15.7,85.1,7.4,85.3,A
19.2,74.7,6.4,87.2,A
9.3,70.9,6.1,80.3,B
29.6,100.0,6.1,100.0,A
8.0,90.2,4.8,71.6,B
6.5,86.0,8.6,75.5,B
23.1,81.6,3.7,98.6,A
20.5,93.7,8.2,100.0,A
19.4,87.7,5.8,100.0,A
19.4,80.3,5.4,97.9,A
14.9,100.0,10.0,90.5,A
8.7,87.3,4.5,41.3,D
15.5,75.8,7.2,93.3,A
10.3,78.2,10.0,81.3,B
21.8,88.8,7.0,100.0,A
14.0,98.7,6.6,97.8,A
9.2,88.3,8.0,56.7,C
12.8,94.1,7.1,81.2,B
17.9,78.4,5.8,99.9,A
11.1,88.1,7.4,94.6,A
9.2,83.7,2.4,72.9,B
16.7,74.9,5.1,80.6,B
16.7,94.9,10.0,97.0,A
11.5,78.1,5.8,89.4,A
11.7,97.9,8.2,79.7,B
16.6,100.0,4.3,100.0,A
4.9,91.0,6.0,59.0,C
5.1,79.5,7.9,56.9,C
10.0,72.0,6.4,79.9,B
13.5,80.0,4.4,91.5,A
17.2,85.4,4.9,100.0,A
25.3,85.3,7.6,100.0,A
21.0,73.6,6.7,87.3,A
13.9,65.4,3.9,87.4,A
14.9,87.1,6.9,88.3,A
8.0,94.8,6.2,68.8,C
14.9,90.4,7.2,94.7,A
13.0,92.5,7.8,76.4,B
17.3,90.4,6.4,100.0,A
9.2,82.3,6.9,72.1,B
18.6,100.0,4.6,83.7,B
25.7,65.4,6.7,100.0,A
14.2,88.1,6.0,85.1,A
17.8,82.1,3.7,89.5,A
19.8,80.0,1.9,95.4,A
12.2,97.8,3.5,82.5,B
16.6,89.5,7.2,77.5,B
15.1,99.6,5.6,89.9,A
15.7,91.3,3.1,93.3,A
9.6,94.4,7.5,80.0,B
15.2,88.4,5.7,96.4,A
18.5,97.3,6.4,95.0,A
25.2,100.0,6.9,100.0,A
21.7,97.8,1.2,100.0,A
30.1,99.7,6.6,100.0,A
9.6,89.8,3.2,82.4,B
21.1,80.3,7.5,92.2,A
16.3,94.9,6.0,100.0,A
30.3,64.4,4.1,100.0,A
9.3,81.7,3.8,60.4,C
9.1,68.2,2.6,76.5,B
10.8,87.0,6.3,88.7,A
0.1,100.0,9.0,33.8,F
11.3,76.4,6.7,67.3,C
9.7,96.9,10.0,87.6,A
16.1,76.0,9.5,92.1,A
17.4,76.8,6.7,85.4,A
28.1,77.2,7.5,100.0,A
21.7,85.5,5.8,100.0,A
11.0,70.7,5.4,97.6,A
8.7,84.9,4.2,54.1,D
18.4,92.8,4.6,85.8,A
5.8,88.0,4.8,63.1,C
27.8,80.3,9.5,100.0,A
23.3,90.6,6.3,100.0,A
11.7,92.7,7.5,89.6,A
3.0,86.6,6.5,58.6,C
24.5,85.5,8.1,100.0,A
14.2,100.0,7.2,81.5,B
23.7,87.9,6.6,100.0,A
3.8,85.8,4.7,67.2,C
10.8,88.7,4.5,67.8,C
15.0,91.7,4.4,87.4,A
15.3,82.9,9.9,90.2,A
11.8,73.2,2.7,64.9,C
19.4,67.1,6.5,88.6,A
7.5,87.5,7.6,81.3,B
14.0,76.5,5.4,88.5,A
15.8,90.0,4.9,85.6,A
18.6,87.8,4.1,91.5,A
20.0,83.3,6.5,100.0,A
7.1,83.1,8.3,66.4,C
4.3,77.5,5.9,54.3,D
23.9,70.1,7.7,100.0,A
17.3,91.6,5.5,89.6,A
9.8,94.2,5.6,89.2,A
25.9,79.2,5.7,100.0,A
15.8,90.1,5.7,96.3,A
23.3,66.9,4.6,100.0,A
15.5,98.2,4.7,90.5,A
29.4,91.3,7.9,100.0,A
27.3,83.0,5.4,100.0,A
13.3,75.8,8.7,71.4,B
21.8,100.0,7.1,89.8,A
19.5,91.0,7.2,81.8,B
24.6,93.6,4.9,100.0,A
8.2,85.1,9.9,74.1,B
19.8,100.0,4.9,100.0,A
22.4,82.9,4.4,96.4,A
2.7,88.0,5.1,47.0,D
6.7,90.2,4.2,46.4,D
0.7,89.0,6.8,54.4,D
13.1,93.6,5.3,76.0,B
20.0,80.1,2.2,97.8,A
25.5,95.1,6.7,100.0,A
15.5,91.8,4.9,92.8,A
26.4,90.4,6.3,100.0,A
5.3,97.0,3.7,78.9,B
3.1,78.2,3.8,74.0,B
14.6,81.0,5.5,75.3,B
17.7,90.2,6.1,88.4,A
14.8,95.8,7.9,81.0,B
0.5,89.4,8.9,45.8,D
14.4,97.7,6.4,80.3,B
5.9,89.5,8.3,69.6,C
19.7,81.0,7.8,98.2,A
17.6,84.0,5.5,100.0,A
8.4,95.8,6.2,89.5,A
11.4,95.8,7.2,66.9,C
7.6,61.6,8.4,80.3,B
14.6,92.6,2.8,67.3,C
21.7,80.6,8.4,100.0,A
8.1,99.4,4.8,78.7,B
18.5,94.1,8.1,86.2,A
11.3,92.8,7.5,71.9,B
9.4,88.3,6.6,49.3,D
14.3,83.4,5.0,93.4,A
7.8,89.2,6.4,55.0,C
11.1,76.4,4.3,79.6,B
6.6,99.9,4.2,51.9,D
28.8,70.1,3.9,100.0,A
15.2,100.0,3.5,94.0,A
10.1,100.0,4.9,96.2,A
16.5,78.7,5.9,77.5,B
14.2,81.9,6.0,85.2,A
13.5,96.6,4.9,99.2,A
19.3,72.7,7.2,92.8,A
20.3,89.4,4.9,100.0,A
11.3,97.7,5.0,72.3,B
11.0,96.7,7.0,65.7,C
13.1,82.8,8.9,66.0,C
0.0,97.2,3.9,60.0,C
4.4,88.1,4.5,63.6,C
24.6,98.7,5.5,100.0,A
26.5,77.8,6.3,100.0,A
13.3,79.0,8.2,82.1,B
19.0,94.1,6.1,83.4,B
17.2,98.3,5.3,97.2,A
36.6,77.7,5.2,100.0,A
22.8,89.4,5.0,100.0,A
14.1,80.7,6.2,80.2,B
8.3,78.0,5.5,78.5,B
3.8,88.3,6.5,67.7,C
16.4,84.5,3.7,75.5,B
9.7,79.7,4.8,74.0,B
5.0,74.5,6.5,68.5,C
10.5,52.5,4.4,66.9,C
7.4,84.7,4.2,87.8,A
26.8,72.8,6.4,100.0,A
21.2,82.5,9.3,100.0,A
14.9,96.7,8.4,88.1,A
25.4,78.1,5.4,100.0,A
15.5,70.6,8.4,100.0,A
9.0,90.3,3.4,85.5,A
25.7,88.9,6.6,100.0,A
18.8,83.2,7.7,100.0,A
7.7,81.4,5.3,72.8,B
13.7,87.0,5.6,100.0,A
8.9,87.4,4.0,63.5,C
5.3,74.2,8.9,72.7,B
21.5,99.4,2.8,100.0,A
28.4,78.6,5.8,100.0,A
5.2,67.6,6.2,69.7,C
18.9,82.7,3.6,95.4,A
10.4,73.6,3.6,56.8,C
11.6,98.6,5.9,75.2,B
10.9,83.9,4.5,72.6,B
9.0,92.6,6.7,64.6,C
15.3,94.6,8.4,72.6,B
9.2,87.1,2.4,80.7,B
16.9,100.0,3.0,89.4,A
14.6,91.1,8.7,91.1,A
13.3,85.4,0.9,92.8,A
8.6,88.3,9.3,63.2,C
11.0,76.1,6.1,80.9,B
20.3,75.4,5.2,94.3,A
18.5,93.7,5.5,92.6,A
8.2,85.4,3.9,65.8,C
15.7,94.4,8.0,96.1,A
20.3,98.4,5.2,100.0,A
3.3,90.4,6.3,66.1,C
18.8,98.8,5.9,90.7,A
10.4,60.2,7.7,63.3,C
19.0,85.9,8.0,100.0,A
9.7,85.1,7.6,63.5,C
2.4,77.1,6.6,79.1,B
3.6,86.1,5.8,63.9,C
15.3,76.4,8.8,88.2,A
16.8,91.0,6.8,79.1,B
8.7,83.1,6.6,70.6,B
19.5,77.4,5.3,99.3,A
3.4,90.9,4.4,55.1,C
14.5,100.0,4.7,81.3,B
6.5,81.6,6.6,43.0,D
10.4,83.7,6.1,89.0,A
15.3,88.2,8.9,78.5,B
9.0,82.4,7.5,77.6,B
12.3,86.8,7.1,92.0,A
22.0,74.0,4.5,100.0,A
11.0,73.6,9.0,73.2,B
20.8,81.3,6.2,96.5,A
7.1,81.6,4.5,62.1,C
18.7,87.9,7.3,86.1,A
25.1,90.6,6.9,100.0,A
0.0,75.7,6.8,37.8,F
9.4,84.1,4.8,65.3,C
19.0,80.5,6.3,79.8,B
13.6,94.1,8.2,100.0,A
17.6,74.9,7.5,89.2,A
10.8,94.3,7.0,79.8,B
15.6,90.9,6.0,100.0,A
13.9,86.3,5.6,87.0,A
23.2,82.3,8.7,98.9,A
16.8,78.2,7.9,98.6,A
17.4,75.7,4.7,100.0,A
12.1,100.0,6.7,86.5,A
11.6,89.1,9.0,76.3,B
12.0,80.6,7.7,82.8,B
17.8,73.9,4.2,100.0,A
12.1,67.1,3.3,100.0,A
17.0,79.1,4.8,100.0,A
29.5,94.1,2.5,100.0,A
21.1,79.6,7.1,72.2,B
12.7,76.7,7.6,87.8,A
23.4,84.8,8.4,100.0,A
12.1,80.1,9.8,100.0,A
0.7,94.0,6.1,63.1,C
7.9,68.0,7.0,61.8,C
1.9,97.1,8.5,58.9,C
12.5,88.3,5.9,76.3,B
15.1,100.0,5.0,100.0,A
26.7,76.0,4.1,100.0,A
17.3,76.1,6.6,99.4,A
13.5,79.3,6.5,89.0,A
20.8,77.4,6.4,83.8,B
0.0,82.6,8.4,61.9,C
16.6,75.8,8.5,80.1,B
20.4,100.0,3.8,95.8,A
4.6,75.5,6.6,58.1,C
23.0,93.0,7.6,100.0,A
17.4,92.8,5.1,86.0,A
12.1,75.1,4.0,86.8,A
19.4,89.4,3.6,100.0,A
30.9,100.0,7.1,100.0,A
16.3,74.3,6.4,99.9,A
16.7,79.0,5.4,84.2,B
11.8,89.6,3.9,80.9,B
9.1,80.8,3.1,72.0,B
20.8,80.6,5.3,100.0,A
9.0,85.2,4.3,65.3,C
15.5,81.6,7.6,93.7,A
11.7,77.2,6.3,67.8,C
18.4,79.1,2.0,91.3,A
17.3,98.2,4.7,84.9,B
22.3,91.5,4.5,99.3,A
11.4,87.0,8.9,67.3,C
13.1,63.1,4.0,99.9,A
8.1,84.5,4.6,74.1,B
11.9,65.9,4.7,100.0,A
17.6,93.8,7.0,91.4,A
20.3,69.7,3.6,89.6,A
8.5,81.2,10.0,76.3,B
21.1,99.7,6.0,100.0,A
24.5,80.9,8.2,100.0,A
17.9,80.6,6.0,100.0,A
28.1,97.7,6.0,100.0,A
9.6,83.5,6.9,77.4,B
6.3,78.5,6.8,52.3,D
2.5,94.0,7.6,51.9,D
25.5,80.4,5.2,100.0,A
19.6,75.5,10.0,100.0,A
14.6,72.6,7.3,74.7,B
17.0,93.8,7.0,99.1,A
7.1,100.0,6.3,70.6,B
32.1,78.9,4.7,100.0,A
15.9,90.2,7.6,97.6,A
15.8,92.5,3.3,96.7,A
20.1,79.0,8.9,100.0,A
18.4,100.0,8.5,98.9,A
16.6,91.6,4.9,93.2,A
9.5,79.8,4.7,73.6,B
18.3,89.0,9.0,89.7,A
28.2,78.6,5.8,100.0,A
24.4,92.7,4.3,100.0,A
26.2,77.9,4.6,100.0,A
11.4,90.2,6.9,91.1,A
8.1,77.5,5.2,71.1,B
14.1,85.0,5.3,69.3,C
15.4,82.3,5.4,80.9,B
22.7,89.6,5.7,100.0,A
3.2,86.8,4.4,66.2,C
25.7,94.9,4.4,100.0,A
13.9,80.0,7.2,89.4,A
12.0,92.4,5.6,78.3,B
7.9,71.9,6.9,67.3,C
3.4,77.7,6.4,69.2,C
20.8,87.1,8.6,100.0,A
15.5,100.0,5.4,89.9,A
6.0,91.7,5.3,49.8,D
5.9,74.6,6.5,82.7,B
12.6,100.0,8.4,82.1,B
26.7,100.0,6.0,100.0,A
13.2,85.6,7.9,94.7,A
4.5,73.1,5.3,65.7,C
13.3,70.8,6.6,74.0,B
13.1,90.4,5.6,83.8,B
0.0,80.5,6.7,44.5,D
14.6,91.4,6.5,90.0,A
13.4,91.3,1.8,86.9,A
19.9,94.1,1.9,93.6,A
27.9,74.4,6.1,100.0,A
22.9,89.2,6.2,100.0,A
13.1,75.2,4.4,75.9,B
7.3,100.0,6.4,78.6,B
33.0,85.3,5.7,100.0,A
15.4,76.3,7.4,97.4,A
15.1,77.8,6.9,94.8,A
14.8,89.0,6.3,93.2,A
16.4,86.7,6.3,92.2,A
14.0,85.6,5.3,75.2,B
11.0,84.3,4.1,73.4,B
11.2,79.6,0.8,81.0,B
14.8,89.5,8.6,98.8,A
11.2,93.5,7.8,86.1,A
10.0,75.6,6.1,84.2,B
15.7,93.5,7.8,78.1,B
13.2,100.0,6.6,84.4,B
25.5,81.7,5.3,100.0,A
0.0,86.4,4.5,34.5,F
22.6,83.7,5.9,100.0,A
23.7,84.7,5.8,97.7,A
0.5,82.0,6.8,51.8,D
12.6,77.7,4.4,81.9,B
12.4,90.0,7.4,87.5,A
5.1,88.4,6.2,70.5,B
9.6,78.0,6.1,76.2,B
7.2,81.4,4.1,74.6,B
27.3,88.2,6.6,100.0,A
21.5,81.2,9.7,100.0,A
23.9,74.2,10.0,100.0,A
20.1,82.8,5.0,100.0,A
7.1,91.7,6.2,83.2,B
11.3,90.3,7.0,94.8,A
18.4,90.2,8.3,100.0,A
6.4,69.1,5.7,51.6,D
20.0,84.5,7.9,100.0,A
13.3,57.2,8.2,95.1,A
12.4,78.5,4.4,76.5,B
20.0,84.6,6.0,100.0,A
18.1,75.7,3.1,100.0,A
12.5,64.0,6.6,68.5,C
23.1,80.8,10.0,100.0,A
7.4,100.0,4.1,66.7,C
19.3,97.0,6.0,96.8,A
19.2,84.3,5.2,100.0,A
12.8,94.0,5.9,100.0,A
17.3,75.5,9.4,100.0,A
6.2,82.5,3.1,70.2,B
21.5,71.9,8.7,100.0,A
13.7,100.0,6.9,71.1,B
11.3,100.0,2.8,75.4,B
22.3,78.9,3.4,96.1,A
10.1,94.6,8.9,87.0,A
5.1,81.0,3.4,62.9,C
4.1,68.5,5.4,71.4,B
19.2,100.0,7.9,100.0,A
6.0,62.4,5.1,75.6,B
27.3,89.8,4.7,100.0,A
0.4,91.7,5.4,50.5,D
26.9,74.4,10.0,100.0,A
16.5,88.5,2.7,77.2,B
14.3,93.9,8.4,93.7,A
11.2,89.9,8.5,61.4,C
17.8,82.3,2.7,98.9,A
14.7,91.2,9.2,89.5,A
22.7,79.3,4.0,100.0,A
15.8,100.0,3.0,100.0,A
16.1,100.0,5.9,97.3,A
12.5,82.9,4.6,78.4,B
14.6,81.4,5.4,81.8,B
17.2,99.6,5.7,87.4,A
3.0,91.5,9.1,46.6,D
5.6,68.4,3.3,71.2,B
20.2,95.3,5.3,100.0,A
16.2,71.3,4.5,86.1,A
13.7,69.9,5.3,99.6,A
15.1,92.9,3.6,100.0,A
17.4,64.5,8.2,83.7,B
11.2,98.2,5.9,81.0,B
9.6,96.0,7.5,80.7,B
16.4,91.7,7.8,80.7,B
8.2,93.2,3.8,81.6,B
17.9,80.8,3.9,80.8,B
3.1,88.7,3.5,48.3,D
22.2,91.4,7.1,99.5,A
18.3,88.2,3.9,98.8,A
16.8,95.6,7.4,74.4,B
21.9,86.5,8.4,100.0,A
26.7,60.0,5.1,100.0,A
22.1,94.4,5.5,93.4,A
2.1,70.4,4.6,67.0,C
6.0,71.4,6.4,92.3,A
10.6,70.8,5.7,82.2,B
15.2,80.8,5.8,77.4,B
18.6,88.3,6.2,97.9,A
9.9,75.0,4.3,84.0,B
16.3,64.5,7.3,85.2,A
9.7,85.6,4.6,76.2,B
10.7,100.0,3.4,70.9,B
5.2,87.8,6.4,62.5,C
8.5,82.2,6.6,77.6,B
5.5,64.4,4.4,76.0,B
8.2,93.4,6.0,84.5,B
22.4,77.3,7.6,100.0,A
8.4,79.1,6.7,83.0,B
33.4,78.4,6.7,100.0,A
18.5,80.7,6.0,94.7,A
16.3,69.5,9.8,91.8,A
9.0,96.7,7.3,62.0,C
19.9,81.7,6.4,100.0,A
11.0,92.9,6.0,72.6,B
15.9,80.6,4.6,98.1,A
32.9,100.0,2.9,100.0,A
14.3,88.0,5.7,97.8,A
23.0,89.2,4.6,100.0,A
10.1,63.8,3.1,67.8,C
14.8,86.9,4.8,85.0,A
27.4,82.0,4.1,100.0,A
10.6,76.3,5.0,77.6,B
27.7,73.8,9.2,100.0,A
20.0,78.6,6.0,100.0,A
11.1,83.8,6.9,78.9,B
19.4,81.4,7.9,100.0,A
21.8,88.7,6.5,88.1,A
